"warehouse_id";"sku";"product_name";"quantity_available";"minimum_level";"location";"last_updated";"supplier"
"WH-05";"ERP-MON-004-2024";"Apple iPad Pro 12.9 512GB";262;19;"warehouse b - section 2";"07/10/2025";"Apple Inc."
"WH-03";"ERP-TAB-003-2024";"ASUS VivoBook 15 Laptop";293;31;"warehouse b - section 2";"06/10/2025";"ASUS Inc"
"WH-01";"ERP-LAP-001-2024";"Samsung Galaxy S24 Ultra";154;41;"warehouse b - section 2";"20/09/2025";"Logitech International"
"WH-01";"ERP-MON-004-2024";"ASUS VivoBook 15 Laptop";265;32;"warehouse a - section 1";"30/09/2025";"ASUS Inc"
"WH-05";"ERP-PHONE-002-2024";"ASUS VivoBook 15 Laptop";353;31;"warehouse b - section 2";"07/09/2025";"Logitech International"
"WH-04";"ERP-PHONE-002-2024";"Logitech MX Keys";330;12;"warehouse b - section 2";"04/09/2025";"Apple Inc."
"WH-05";"ERP-MOU-006-2024";"Logitech MX Keys";333;39;"warehouse b - section 2";"09/10/2025";"Logitech International"
"WH-02";"ERP-TAB-003-2024";"Samsung Galaxy S24 Ultra";220;50;"warehouse b - section 2";"04/09/2025";"ASUS Inc"
"WH-01";"ERP-MON-004-2024";"Logitech MX Keys";285;36;"warehouse b - section 2";"07/10/2025";"LG Electronics"
"WH-05";"ERP-MOU-006-2024";"ASUS VivoBook 15 Laptop";241;18;"warehouse b - section 2";"14/09/2025";"ASUS Inc"
"WH-04";"ERP-MOU-006-2024";"Samsung Galaxy S24 Ultra";128;17;"warehouse a - section 1";"13/09/2025";"Logitech"
"WH-02";"ERP-KEY-005-2024";"Logitech MX Master 3S";465;14;"warehouse a - section 1";"07/10/2025";"ASUS Inc"
"WH-02";"ERP-PHONE-002-2024";"Samsung Galaxy S24 Ultra";391;17;"warehouse b - section 2";"08/09/2025";"Logitech International"
"WH-01";"ERP-KEY-005-2024";"Logitech MX Master 3S";187;17;"warehouse a - section 1";"15/09/2025";"LG Electronics"
"WH-04";"ERP-MON-004-2024";"Samsung Galaxy S24 Ultra";395;35;"warehouse b - section 2";"11/09/2025";"Logitech"
"WH-05";"ERP-KEY-005-2024";"Samsung Galaxy S24 Ultra";340;22;"warehouse a - section 1";"12/09/2025";"LG Electronics"
"WH-03";"ERP-MON-004-2024";"Logitech MX Keys";178;26;"warehouse b - section 2";"11/09/2025";"Samsung Electronics"
"WH-05";"ERP-MOU-006-2024";"ASUS VivoBook 15 Laptop";472;19;"warehouse b - section 2";"20/09/2025";"Apple Inc."
"WH-02";"ERP-MOU-006-2024";"Logitech MX Master 3S";278;11;"warehouse a - section 1";"10/10/2025";"LG Electronics"
"WH-05";"ERP-MON-004-2024";"LG UltraWide 34"" Monitor";403;17;"warehouse a - section 1";"25/09/2025";"Samsung Electronics"
"WH-05";"ERP-MOU-006-2024";"Logitech MX Master 3S";17;19;"warehouse a - section 1";"12/09/2025";"Logitech"
"WH-02";"ERP-PHONE-002-2024";"Logitech MX Keys";188;20;"warehouse b - section 2";"25/09/2025";"Apple Inc."
"WH-01";"ERP-KEY-005-2024";"Samsung Galaxy S24 Ultra";122;31;"warehouse b - section 2";"12/09/2025";"Samsung Electronics"
"WH-04";"ERP-KEY-005-2024";"Apple iPad Pro 12.9 512GB";58;36;"warehouse b - section 2";"12/09/2025";"Samsung Electronics"
"WH-04";"ERP-MOU-006-2024";"LG UltraWide 34"" Monitor";77;11;"warehouse a - section 1";"09/10/2025";"Logitech"
"WH-01";"ERP-KEY-005-2024";"Logitech MX Master 3S";378;18;"warehouse b - section 2";"05/09/2025";"Apple Inc."
"WH-05";"ERP-LAP-001-2024";"Samsung Galaxy S24 Ultra";312;11;"warehouse b - section 2";"10/09/2025";"LG Electronics"
"WH-01";"ERP-MON-004-2024";"ASUS VivoBook 15 Laptop";212;25;"warehouse b - section 2";"25/09/2025";"Logitech"
"WH-03";"ERP-TAB-003-2024";"Logitech MX Master 3S";18;29;"warehouse b - section 2";"04/09/2025";"LG Electronics"
"WH-04";"ERP-MOU-006-2024";"LG UltraWide 34"" Monitor";83;19;"warehouse a - section 1";"14/09/2025";"LG Electronics"
"WH-04";"ERP-TAB-003-2024";"Logitech MX Keys";427;19;"warehouse a - section 1";"10/10/2025";"Logitech International"
"WH-05";"ERP-LAP-001-2024";"Logitech MX Keys";293;36;"warehouse a - section 1";"16/09/2025";"Logitech International"
"WH-01";"ERP-TAB-003-2024";"Apple iPad Pro 12.9 512GB";106;12;"warehouse b - section 2";"11/09/2025";"Samsung Electronics"
"WH-04";"ERP-MON-004-2024";"LG UltraWide 34"" Monitor";87;49;"warehouse a - section 1";"03/10/2025";"ASUS Inc"
"WH-03";"ERP-KEY-005-2024";"Samsung Galaxy S24 Ultra";187;16;"warehouse b - section 2";"08/10/2025";"ASUS Inc"
"WH-01";"ERP-TAB-003-2024";"Samsung Galaxy S24 Ultra";84;28;"warehouse a - section 1";"08/10/2025";"Logitech International"
"WH-03";"ERP-LAP-001-2024";"ASUS VivoBook 15 Laptop";199;16;"warehouse b - section 2";"11/09/2025";"Logitech International"
"WH-01";"ERP-LAP-001-2024";"Samsung Galaxy S24 Ultra";300;37;"warehouse b - section 2";"08/10/2025";"LG Electronics"
"WH-05";"ERP-MON-004-2024";"ASUS VivoBook 15 Laptop";61;32;"warehouse a - section 1";"23/09/2025";"Logitech International"
"WH-05";"ERP-LAP-001-2024";"Apple iPad Pro 12.9 512GB";10;14;"warehouse b - section 2";"07/09/2025";"Logitech"
"WH-01";"ERP-MOU-006-2024";"ASUS VivoBook 15 Laptop";106;14;"warehouse a - section 1";"02/10/2025";"Apple Inc."
"WH-03";"ERP-KEY-005-2024";"Logitech MX Keys";440;45;"warehouse b - section 2";"11/09/2025";"Logitech"
"WH-01";"ERP-LAP-001-2024";"LG UltraWide 34"" Monitor";65;47;"warehouse b - section 2";"01/09/2025";"Logitech International"
"WH-03";"ERP-TAB-003-2024";"Logitech MX Master 3S";74;16;"warehouse a - section 1";"02/09/2025";"LG Electronics"
"WH-01";"ERP-MOU-006-2024";"Logitech MX Keys";67;24;"warehouse b - section 2";"27/09/2025";"Samsung Electronics"
"WH-03";"ERP-KEY-005-2024";"Samsung Galaxy S24 Ultra";43;33;"warehouse b - section 2";"15/09/2025";"Logitech"
"WH-04";"ERP-MON-004-2024";"Logitech MX Keys";430;26;"warehouse a - section 1";"15/09/2025";"Logitech"
"WH-04";"ERP-TAB-003-2024";"Logitech MX Master 3S";299;44;"warehouse a - section 1";"24/09/2025";"Apple Inc."
